City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,6.819999999999993,86,98,2.81,AR,1675822320
1,ribeira grande,38.5167,-28.7,12.610000000000014,64,9,3.13,PT,1675822165
2,provideniya,64.3833,-173.3,-19.539999999999992,65,100,3.0,RU,1675822174
3,carmen,18.6333,-91.8333,27.420000000000016,61,0,2.57,MX,1675822218
4,khatanga,71.9667,102.5,-44.78,100,64,1.26,RU,1675822180
5,port elizabeth,-33.918,25.5701,19.569999999999993,93,100,1.34,ZA,1675822166
6,karaman,37.0833,33.25,-11.439999999999998,95,100,6.37,TR,1675822453
7,fortuna,40.5982,-124.1573,11.060000000000002,78,40,3.09,US,1675822453
8,talnakh,69.4865,88.3972,-22.659999999999997,98,100,3.39,RU,1675822275
9,college,64.8569,-147.8028,-14.720000000000027,80,40,0.0,US,1675822454
10,busselton,-33.65,115.3333,23.819999999999993,50,0,2.56,AU,1675822147
11,hilo,19.7297,-155.09,24.560000000000002,89,100,5.66,US,1675822087
12,rikitea,-23.1203,-134.9692,26.05000000000001,68,10,4.45,PF,1675822150
13,atuona,-9.8,-139.0333,25.670000000000016,74,28,7.37,PF,1675822152
14,victoria,22.2855,114.1577,18.5,85,97,6.71,HK,1675822222
15,ancud,-41.8697,-73.8203,13.490000000000009,94,0,1.62,CL,1675822193
16,tual,-5.6667,132.75,26.899999999999977,78,99,9.88,ID,1675822316
17,faanui,-16.4833,-151.75,26.680000000000007,73,24,5.43,PF,1675822224
18,norman wells,65.282,-126.8329,-23.400000000000006,99,88,0.92,CA,1675822158
19,bethel,41.3712,-73.414,2.6000000000000227,78,100,1.54,US,1675822129
20,mataura,-46.1927,168.8643,13.0,65,73,4.79,NZ,1675822176
21,bam,29.106,58.357,14.439999999999998,51,56,3.3,IR,1675822304
22,angoche,-16.2325,39.9086,24.00999999999999,88,100,3.42,MZ,1675822455
23,punta arenas,-53.15,-70.9167,10.45999999999998,82,0,2.06,CL,1675822054
24,seymchan,62.8833,152.4333,-31.02000000000001,91,100,0.76,RU,1675822456
25,tasiilaq,65.6145,-37.6368,-18.50999999999999,37,0,12.66,GL,1675822167
26,georgetown,5.4112,100.3354,27.360000000000014,86,20,3.6,MY,1675821872
27,gombe,10.2897,11.1673,20.70999999999998,23,27,3.73,NG,1675822457
28,alofi,-19.0595,-169.9187,27.339999999999975,78,75,4.63,NU,1675822357
29,mar del plata,-38.0023,-57.5575,22.779999999999973,93,0,8.49,AR,1675822304
30,kapaa,22.0752,-159.319,25.579999999999984,86,75,7.2,US,1675822105
31,kanigoro,-8.13,112.219,23.660000000000025,89,100,2.44,ID,1675822458
32,adre,13.4667,22.2,17.069999999999993,26,47,9.08,TD,1675822167
33,korfovskiy,48.2183,135.0564,-18.710000000000008,62,2,4.49,RU,1675822458
34,iquitos,-3.7481,-73.2472,25.420000000000016,83,75,1.54,PE,1675822157
35,pevek,69.7008,170.3133,-30.370000000000005,93,100,1.31,RU,1675822034
36,geraldton,-28.7667,114.6,26.629999999999995,54,0,3.6,AU,1675822167
37,albany,42.6001,-73.9662,0.660000000000025,79,100,0.89,US,1675822057
38,beringovskiy,63.05,179.3167,-27.900000000000006,94,82,3.45,RU,1675822459
39,yar-sale,66.8333,70.8333,-15.399999999999977,84,100,9.16,RU,1675822240
40,vila franca do campo,37.7167,-25.4333,12.629999999999995,79,92,4.6,PT,1675822460
41,hofn,64.2539,-15.2082,-0.7900000000000205,71,100,8.21,IS,1675822195
42,lorengau,-2.0226,147.2712,24.899999999999977,95,100,6.99,PG,1675822241
43,caravelas,-17.7125,-39.2481,24.620000000000005,81,4,3.61,BR,1675822188
44,carnarvon,-24.8667,113.6333,28.19999999999999,52,0,7.04,AU,1675822166
45,cherskiy,68.75,161.3,-34.379999999999995,96,100,2.46,RU,1675822196
46,vaini,-21.2,-175.2,28.49000000000001,79,75,3.09,TO,1675822182
47,panama city,8.9936,-79.5197,26.829999999999984,73,40,3.6,PA,1675822462
48,new norfolk,-42.7826,147.0587,16.579999999999984,33,6,1.45,AU,1675822154
49,severo-kurilsk,50.6789,156.125,-4.589999999999975,54,12,4.27,RU,1675822175
50,comodoro rivadavia,-45.8667,-67.5,18.99000000000001,49,3,3.41,AR,1675822355
51,yellowknife,62.456,-114.3525,-19.22999999999999,95,100,3.12,CA,1675822286
52,broome,42.2506,-75.833,3.5400000000000205,76,75,5.81,US,1675822345
53,tuktoyaktuk,69.4541,-133.0374,-30.099999999999994,94,100,1.79,CA,1675822171
54,mahebourg,-20.4081,57.7,25.560000000000002,83,40,5.14,MU,1675822172
55,dikson,73.5069,80.5464,-22.97,90,100,9.73,RU,1675822164
56,te anau,-45.4167,167.7167,13.79000000000002,46,50,5.28,NZ,1675822371
57,hobart,-42.8794,147.3294,16.769999999999982,68,75,6.69,AU,1675822087
58,saint george,37.1041,-113.5841,8.810000000000002,42,0,3.09,US,1675822041
59,la rioja,42.25,-2.5,-1.7200000000000273,97,100,2.44,ES,1675822464
60,port alfred,-33.5906,26.891,20.060000000000002,89,100,0.89,ZA,1675822036
61,gusinoye ozero,51.1144,106.2614,-21.189999999999998,99,100,0.66,RU,1675822465
62,bredasdorp,-34.5322,20.0403,17.939999999999998,79,11,3.16,ZA,1675822189
63,west des moines,41.572,-93.7453,1.4599999999999795,73,0,2.06,US,1675822465
64,ocean city,39.2776,-74.5746,5.5400000000000205,85,100,1.79,US,1675822466
65,sao filipe,14.8961,-24.4956,19.470000000000027,69,18,4.82,CV,1675822299
66,wanaka,-44.7,169.15,18.899999999999977,30,96,5.81,NZ,1675822268
67,bluff,-46.6,168.3333,13.180000000000007,61,62,11.74,NZ,1675822152
68,purpe,64.4803,76.6897,-26.49000000000001,100,90,3.3,RU,1675822466
69,brun,39.5349,46.3073,-4.180000000000007,98,100,2.16,AM,1675822467
70,manakara,-22.1333,48.0167,21.810000000000002,91,100,1.72,MG,1675822467
71,huanren,41.2647,125.3667,-4.860000000000014,44,0,0.79,CN,1675822468
72,shimoda,34.6667,138.95,8.899999999999977,72,47,3.15,JP,1675822468
73,ilulissat,69.2167,-51.1,-27.590000000000003,76,75,3.09,GL,1675822066
74,saint-philippe,-21.3585,55.7679,24.170000000000016,83,90,6.32,RE,1675822212
75,samfya,-11.3649,29.5565,16.839999999999975,95,100,2.69,ZM,1675822469
76,tommot,58.9564,126.2925,-28.590000000000003,95,100,0.81,RU,1675822204
77,port lincoln,-34.7333,135.8667,22.589999999999975,60,6,5.04,AU,1675822242
78,cidreira,-30.1811,-50.2056,23.600000000000023,80,15,6.42,BR,1675822067
79,kargala,56.6208,83.9607,-15.800000000000011,97,95,2.3,RU,1675822469
80,castro,-24.7911,-50.0119,16.170000000000016,93,62,2.36,BR,1675822182
81,jamestown,42.097,-79.2353,4.410000000000025,90,100,6.17,US,1675821999
82,iqaluit,63.7506,-68.5145,-28.47999999999999,96,100,1.23,CA,1675822257
83,qaanaaq,77.484,-69.3632,-32.379999999999995,67,4,2.79,GL,1675822185
84,thompson,55.7435,-97.8558,-16.50999999999999,85,100,1.54,CA,1675821867
85,hermanus,-34.4187,19.2345,19.29000000000002,83,0,5.29,ZA,1675822146
86,ola,59.5833,151.2833,-26.080000000000013,77,44,3.66,RU,1675822470
87,massaguet,12.4755,15.4365,21.850000000000023,18,100,6.43,TD,1675822471
88,kununurra,-15.7667,128.7333,33.389999999999986,52,7,2.57,AU,1675822349
89,caernarfon,53.1413,-4.2702,5.550000000000011,72,20,3.09,GB,1675822471
90,constantine,36.365,6.6147,7.069999999999993,81,75,3.09,DZ,1675822472
91,hwange,-18.3693,26.5019,18.49000000000001,90,39,1.2,ZW,1675822472
92,cape town,-33.9258,18.4232,20.45999999999998,73,0,6.26,ZA,1675822255
93,waw,7.7029,27.9953,21.519999999999982,19,3,2.5,SS,1675822225
94,buxtehude,53.45,9.7,-3.7799999999999727,80,79,2.06,DE,1675822473
95,arraial do cabo,-22.9661,-42.0278,23.379999999999995,91,100,1.96,BR,1675822161
96,umba,66.6871,34.3429,-2.490000000000009,92,12,4.54,RU,1675822474
97,antalaha,-14.9003,50.2788,22.180000000000007,91,100,2.39,MG,1675822475
98,lazo,43.3817,133.9014,-5.670000000000016,43,11,3.01,RU,1675822475
99,tilichiki,60.4667,166.1,-29.0,90,72,4.5,RU,1675822304
100,olafsvik,64.8945,-23.7142,-3.089999999999975,57,100,12.37,IS,1675822294
101,aden,12.7794,45.0367,23.769999999999982,68,12,4.35,YE,1675822476
102,marsa matruh,31.3525,27.2453,10.5,75,91,3.87,EG,1675822476
103,glendive,47.1053,-104.7125,3.1899999999999977,75,0,3.09,US,1675822194
104,porto belo,-27.1578,-48.5531,26.370000000000005,81,13,2.87,BR,1675822303
105,akureyri,65.6835,-18.0878,-5.639999999999986,74,20,3.09,IS,1675822478
106,sisimiut,66.9395,-53.6735,-26.169999999999987,93,100,2.15,GL,1675822183
107,benguela,-12.5763,13.4055,22.420000000000016,77,100,1.66,AO,1675822028
108,los llanos de aridane,28.6585,-17.9182,11.259999999999991,62,0,3.6,ES,1675822478
109,belaya gora,68.5333,146.4167,-41.650000000000006,98,72,1.3,RU,1675822478
110,lakes entrance,-37.8811,147.981,18.930000000000007,64,30,4.33,AU,1675822479
111,leh,34.1667,77.5833,-21.210000000000008,63,10,1.25,IN,1675822479
112,myrtle beach,33.6891,-78.8867,11.120000000000005,81,70,2.04,US,1675822480
113,paka,4.6374,103.4368,25.779999999999973,80,91,3.08,MY,1675822236
114,asau,46.4333,26.4,-6.089999999999975,97,97,1.97,RO,1675822300
115,laguna,38.421,-121.4238,12.0,67,100,1.59,US,1675822292
116,marfino,55.7028,37.3822,-7.4599999999999795,79,100,5.0,RU,1675822480
117,okhotsk,59.3833,143.3,-24.610000000000014,80,89,5.4,RU,1675822481
